tag,module_name,rtl_path,total_cells,flop_cells,comb_cells,min_bits,max_bits,n_levels,input_bits,acc_guard,avg_bits_per_tap,rms_error_wideband,snr_db_wideband,stopband_atten_db,passband_ripple_db,bit_widths
b_s_lo12_hi16_lv3_i14_g4,fir_b_s_lo12_hi16_lv3_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi16_lv3_i14_g4.v,10510,274,10236,12,16,3,14,4,14.0,0.00022975228052771342,62.31869795035425,36.90130947645222,0.39030117956278065,"14,12,16,14,16,12,16,14,12"
b_s_lo12_hi16_lv3_i14_g2,fir_b_s_lo12_hi16_lv3_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi16_lv3_i14_g2.v,10516,274,10242,12,16,3,14,2,14.0,0.00022975228052771342,62.31869795035425,36.90130947645222,0.39030117956278065,"14,12,16,14,16,12,16,14,12"
b_s_lo13_hi15_lv4_i14_g4,fir_b_s_lo13_hi15_lv4_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi15_lv4_i14_g4.v,10544,274,10270,13,15,4,14,4,14.0,0.0001607210574221226,65.42243894680544,36.814811475360855,0.39016785529427567,"14,14,14,14,15,13,15,14,13"
b_s_lo12_hi16_lv4_i14_g2,fir_b_s_lo12_hi16_lv4_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi16_lv4_i14_g2.v,10607,278,10329,12,16,4,14,2,14.11111111111111,0.00027009817287572483,60.913461641540074,36.7982569021929,0.39115188411861596,"15,13,15,13,16,12,16,15,12"
b_s_lo12_hi15_lv3_i14_g4,fir_b_s_lo12_hi15_lv3_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi15_lv3_i14_g4.v,10619,274,10345,12,15,3,14,4,13.666666666666666,0.00023071142452807728,62.28251255336506,36.87565137229133,0.3900994282952063,"14,12,15,14,15,12,15,14,12"
b_s_lo13_hi15_lv4_i14_g2,fir_b_s_lo13_hi15_lv4_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi15_lv4_i14_g2.v,10621,274,10347,13,15,4,14,2,14.0,0.0001607210574221226,65.42243894680544,36.814811475360855,0.39016785529427567,"14,14,14,14,15,13,15,14,13"
b_s_lo12_hi15_lv4_i15_g2,fir_b_s_lo12_hi15_lv4_i15_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi15_lv4_i15_g2.v,10626,297,10329,12,15,4,15,2,13.555555555555555,0.00027937974176304705,60.61999633660022,36.70091561926532,0.3896337188927606,"14,13,14,13,15,12,15,14,12"
b_s_lo12_hi16_lv4_i14_g4,fir_b_s_lo12_hi16_lv4_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi16_lv4_i14_g4.v,10634,278,10356,12,16,4,14,4,14.11111111111111,0.00027009817287572483,60.913461641540074,36.7982569021929,0.39115188411861596,"15,13,15,13,16,12,16,15,12"
b_s_lo12_hi15_lv3_i14_g2,fir_b_s_lo12_hi15_lv3_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi15_lv3_i14_g2.v,10636,274,10362,12,15,3,14,2,13.666666666666666,0.00023071142452807728,62.28251255336506,36.87565137229133,0.3900994282952063,"14,12,15,14,15,12,15,14,12"
b_s_lo12_hi15_lv4_i15_g4,fir_b_s_lo12_hi15_lv4_i15_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi15_lv4_i15_g4.v,10684,297,10387,12,15,4,15,4,13.555555555555555,0.00027937974176304705,60.61999633660022,36.70091561926532,0.3896337188927606,"14,13,14,13,15,12,15,14,12"
b_s_lo12_hi14_lv3_i15_g4,fir_b_s_lo12_hi14_lv3_i15_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi14_lv3_i15_g4.v,10705,297,10408,12,14,3,15,4,13.0,0.0002815324583396896,60.55332511636785,36.64441821760706,0.3900362953723182,"13,12,14,13,14,12,14,13,12"
b_s_lo11_hi15_lv4_i15_g2,fir_b_s_lo11_hi15_lv4_i15_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo11_hi15_lv4_i15_g2.v,10715,297,10418,11,15,4,15,2,13.11111111111111,0.00027937974176304705,60.61999633660022,36.70091561926532,0.3896337188927606,"14,12,14,12,15,11,15,14,11"
b_s_lo11_hi15_lv4_i15_g4,fir_b_s_lo11_hi15_lv4_i15_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo11_hi15_lv4_i15_g4.v,10730,297,10433,11,15,4,15,4,13.11111111111111,0.00027937974176304705,60.61999633660022,36.70091561926532,0.3896337188927606,"14,12,14,12,15,11,15,14,11"
b_s_lo13_hi14_lv3_i14_g4,fir_b_s_lo13_hi14_lv3_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi14_lv3_i14_g4.v,10775,274,10501,13,14,3,14,4,13.666666666666666,0.00016666556562073222,65.10697695757756,36.96300214090565,0.39441216883680175,"14,13,14,14,14,13,14,14,13"
b_s_lo13_hi15_lv3_i14_g2,fir_b_s_lo13_hi15_lv3_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi15_lv3_i14_g2.v,10788,274,10514,13,15,3,14,2,14.0,0.0001353230068907337,66.91646178253558,36.96297048562493,0.3902900138543355,"14,13,15,14,15,13,15,14,13"
