coeff_bits,input_bits,acc_guard,rounding,saturate_output,total_bits_per_tap,passband_ripple_db,stopband_atten_db,meets_freq_spec,rms_error_wideband,snr_db_wideband,rms_error_music,snr_db_music,overflow_events,passes_error_budget,avg_bits_per_unique_coeff,bit_widths,min_bits,max_bits,n_levels
12,13,2,round,True,12,0.4134969082255261,35.66621753685935,True,0.0007471101324547359,52.07620203960698,0.00044167147028648394,54.124655671119655,0,False,12.333333333333334,"12,11,14,12,14,11,14,12,11",11,14,3
12,13,4,round,True,12,0.4134969082255261,35.66621753685935,True,0.0007471101324547359,52.07620203960698,0.00044167147028648394,54.124655671119655,0,False,12.333333333333334,"12,11,14,12,14,11,14,12,11",11,14,3
12,14,2,round,True,12,0.4134969082255261,35.66621753685935,True,0.000743855252039875,52.11412589387589,0.00042695840732311693,54.41893121532989,0,False,12.333333333333334,"12,11,14,12,14,11,14,12,11",11,14,3
12,14,4,round,True,12,0.4134969082255261,35.66621753685935,True,0.000743855252039875,52.11412589387589,0.00042695840732311693,54.41893121532989,0,False,12.333333333333334,"12,11,14,12,14,11,14,12,11",11,14,3
12,15,2,round,True,12,0.4134969082255261,35.66621753685935,True,0.0007423793544325788,52.131376855321896,0.0004186691904064438,54.58922255807998,0,False,12.333333333333334,"12,11,14,12,14,11,14,12,11",11,14,3
12,15,4,round,True,12,0.4134969082255261,35.66621753685935,True,0.0007423793544325788,52.131376855321896,0.0004186691904064438,54.58922255807998,0,False,12.333333333333334,"12,11,14,12,14,11,14,12,11",11,14,3
12,16,2,round,True,12,0.4134969082255261,35.66621753685935,True,0.0007392740628251901,52.16778518047207,0.00041640099276934653,54.63640748504741,0,False,12.333333333333334,"12,11,14,12,14,11,14,12,11",11,14,3
12,16,4,round,True,12,0.4134969082255261,35.66621753685935,True,0.0007392740628251901,52.16778518047207,0.00041640099276934653,54.63640748504741,0,False,12.333333333333334,"12,11,14,12,14,11,14,12,11",11,14,3
13,12,2,round,True,13,0.3930938718596422,36.69431043612097,True,0.0004286709923132216,56.901412642676505,0.00033093506645674183,56.63178684647466,0,False,12.555555555555555,"13,12,13,12,14,11,14,13,11",11,14,4
13,12,4,round,True,13,0.3930938718596422,36.69431043612097,True,0.0004286709923132216,56.901412642676505,0.00033093506645674183,56.63178684647466,0,False,12.555555555555555,"13,12,13,12,14,11,14,13,11",11,14,4
13,13,2,round,True,13,0.3930938718596422,36.69431043612097,True,0.00033490439337809373,59.04547767263712,0.00019824671743452863,61.08252251026626,0,False,12.555555555555555,"13,12,13,12,14,11,14,13,11",11,14,4
13,13,4,round,True,13,0.3930938718596422,36.69431043612097,True,0.00033490439337809373,59.04547767263712,0.00019824671743452863,61.08252251026626,0,False,12.555555555555555,"13,12,13,12,14,11,14,13,11",11,14,4
13,14,2,round,True,13,0.3930938718596422,36.69431043612097,True,0.00030212891619903925,59.94004871267322,0.00013726530411208924,64.2754270786599,0,False,12.555555555555555,"13,12,13,12,14,11,14,13,11",11,14,4
13,14,4,round,True,13,0.3930938718596422,36.69431043612097,True,0.00030212891619903925,59.94004871267322,0.00013726530411208924,64.2754270786599,0,False,12.555555555555555,"13,12,13,12,14,11,14,13,11",11,14,4
13,15,2,round,True,13,0.3930938718596422,36.69431043612097,True,0.00029096373926844614,60.26711718152701,0.0001180063982244351,65.58853150869466,0,True,12.555555555555555,"13,12,13,12,14,11,14,13,11",11,14,4
13,15,4,round,True,13,0.3930938718596422,36.69431043612097,True,0.00029096373926844614,60.26711718152701,0.0001180063982244351,65.58853150869466,0,True,12.555555555555555,"13,12,13,12,14,11,14,13,11",11,14,4
